Brand,Model,MPG
Hyundai i20 (2015 - 2020),i20-2015,33–74
Hyundai i10 (2020 on),i10-2020,34–50
Hyundai i20 (2009 - 2015),i20-2009,32–80
Hyundai i20  Coupe (2015 - 2017),i20-coupe-2015,38–54
Hyundai Ioniq (2016 - 2022),ioniq-2016,47–156
Hyundai i10 (2014 - 2019),i10-2014,29–61
Hyundai i10 (2008 - 2014),i10-2008,28–56
Hyundai Coupe (2002 - 2009),coupe-2002,23–39
Hyundai Getz (2002 - 2008),getz-2002,30–60
Hyundai Genesis (2015 - 2017),genesis-2014,23–30
Hyundai Bayon (2021 on),bayon-2021,39
Volkswagen T6 Transporter (2015 on),t6-transporter-2015,21–46
Vauxhall Vivaro Life (2019 on),vivaro-life-2019,-
Volkswagen T6 Caravelle (2015 - 2022),t6-caravelle-2015,21–42
SsangYong Rexton W Commercial (2015 - 2017),rexton-w-commercial-2015,-
Volkswagen T6 Transporter (2015 on),t6-transporter-2015,21–46
Vauxhall Vivaro Life (2019 on),vivaro-life-2019,-
Vauxhall Corsa (2019 on),corsa-2019,46
SsangYong Rexton W Commercial (2015 - 2017),rexton-w-commercial-2015,-
Toyota GR86 (2022 on),gr86-2022,-
Subaru XV (2018 on),xv-2018,31–40
Saab 9-5 (1997 - 2009),9-5-1997,21–52
Rolls-Royce Wraith (2013 - 2023),wraith-2013,-
Saab 9-5 (2010 - 2011),9-5-2010,23–50
Peugeot Traveller  (2016 on),traveller-2016,35–42
Renault Koleos (2017 - 2020),koleos-2017,25–50
Nissan Primastar (2002 - 2015),primastar-2002,29–45
Renault Laguna  Coupe (2009 - 2012),laguna-coupe-2009,26–49
Nissan Pathfinder Van  (2010 - 2015),pathfinder-van-2010,-
Peugeot Traveller  (2016 on),traveller-2016,35–42
Nissan X-Trail (2001 - 2007),x-trail-2001,20–45
Porsche Panamera (2016 on),panamera-2017,36–37
Nissan Pathfinder Van  (2010 - 2015),pathfinder-van-2010,-
Perodua Myvi (2006 - 2017),myvi-2006,40–49
Nissan Primastar (2002 - 2015),primastar-2002,29–45
SEAT Leon (2013 - 2020),leon-2013,30–74
SEAT Toledo (2012 - 2018),toledo-2012,36–72
SEAT Leon X-Perience (2014 - 2018),leon-x-perience-2014,38–57
SEAT Mii (2012 - 2019),mii-2011,42–68
SEAT Leon (2005 - 2013),leon-2005,22–65
SEAT Tarraco (2019 on),tarraco-2019,-
SEAT Leon (2020 on),leon-2020,43–58
SEAT Leon  SC (2013 - 2018),leon-sc-2013,29–67
SEAT Leon  Cupra R (2010 - 2013),leon-cupra-r-2010,25–28
SEAT Leon  Cupra (2014 - 2020),leon-cupra-2014,24–40
SEAT Ibiza (2008 - 2017),ibiza-2008,26–78
SEAT Leon  ST (2014 - 2020),leon-st-2014,30–70
Proton Satria Neo (2007 - 2016),satria-neo-2007,42–49
Proton GEN-2 (2004 - 2016),gen-2-2005,21–51
SEAT Ibiza (2017 on),ibiza-2017,33–61
SEAT Ibiza (2002 - 2009),ibiza-2002,25–75
Proton Savvy (2006 - 2016),savvy-2006,30–42
SEAT Ibiza  ST (2010 - 2017),ibiza-st-2010,32–77
SEAT Exeo  ST (2009 - 2013),exeo-st-2009,26–56
SEAT Exeo (2009 - 2013),exeo-2009,38–62
SEAT Arona (2018 on),arona-2018,34–67
SEAT Ibiza  SC (2008 - 2017),ibiza-sc-2008,26–82
SEAT Altea  XL (2007 - 2015),altea-xl-2007,34–62
